ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-05-01,8545.845763489202,7847.91798692539,10010.76600836379,8220.389908173638,8851.033763519647,355.67872695161014,355.67872695161014,355.67872695161014,355.67872695161014,355.67872695161014,355.67872695161014,0.0,0.0,0.0,8901.524490440812
2025-06-01,8605.46790126721,6380.244831681297,8776.207771522992,8255.568852834738,8946.984109567305,-985.4465549366399,-985.4465549366399,-985.4465549366399,-985.4465549366399,-985.4465549366399,-985.4465549366399,0.0,0.0,0.0,7620.02134633057
2025-07-01,8663.16674427818,7686.361249249993,9994.163396694566,8284.84973968614,9039.095538648815,177.7830656181513,177.7830656181513,177.7830656181513,177.7830656181513,177.7830656181513,177.7830656181513,0.0,0.0,0.0,8840.94980989633
2025-08-01,8722.788882056186,7745.339122124351,10126.814481675903,8320.132064551555,9128.800166559318,182.0923708847233,182.0923708847233,182.0923708847233,182.0923708847233,182.0923708847233,182.0923708847233,0.0,0.0,0.0,8904.88125294091
2025-09-01,8782.411019834191,7140.704201077496,9450.230952383808,8354.077149912762,9218.45107720751,-463.96650947629144,-463.96650947629144,-463.96650947629144,-463.96650947629144,-463.96650947629144,-463.96650947629144,0.0,0.0,0.0,8318.4445103579
2025-10-01,8840.109862845164,7537.840271676855,9958.964023838074,8381.411083077879,9303.294996694085,-42.16814829426716,-42.16814829426716,-42.16814829426716,-42.16814829426716,-42.16814829426716,-42.16814829426716,0.0,0.0,0.0,8797.941714550896
2025-11-01,8899.732000623168,8517.152440028376,10804.285507350114,8409.585577215723,9401.576079778599,810.216748183273,810.216748183273,810.216748183273,810.216748183273,810.216748183273,810.216748183273,0.0,0.0,0.0,9709.94874880644
2025-12-01,8957.43084363414,8329.867417945707,10805.84121886071,8437.84956585859,9506.268006834924,650.5521424773093,650.5521424773093,650.5521424773093,650.5521424773093,650.5521424773093,650.5521424773093,0.0,0.0,0.0,9607.982986111449
2026-01-01,9017.052981412147,7685.780595329658,10083.079560486727,8457.635769241942,9600.056041409807,-114.28705147760671,-114.28705147760671,-114.28705147760671,-114.28705147760671,-114.28705147760671,-114.28705147760671,0.0,0.0,0.0,8902.765929934541
2026-02-01,9076.67511919015,6849.918583634641,9358.72394545003,8487.955590898633,9699.903771224705,-927.8410058112905,-927.8410058112905,-927.8410058112905,-927.8410058112905,-927.8410058112905,-927.8410058112905,0.0,0.0,0.0,8148.834113378859
2026-03-01,9130.527372667058,8566.598262660196,11154.014332035751,8506.82126045199,9791.404954491272,704.3394501984919,704.3394501984919,704.3394501984919,704.3394501984919,704.3394501984919,704.3394501984919,0.0,0.0,0.0,9834.86682286555
2026-04-01,9190.149510445064,7257.395215732865,9858.987483690864,8530.816762177517,9885.457566959496,-643.8826793132033,-643.8826793132033,-643.8826793132033,-643.8826793132033,-643.8826793132033,-643.8826793132033,0.0,0.0,0.0,8546.266831131861
2026-05-01,9247.848353456036,8319.197013874515,10826.286727545745,8548.617352550618,9988.367551973593,371.94189305870617,371.94189305870617,371.94189305870617,371.94189305870617,371.94189305870617,371.94189305870617,0.0,0.0,0.0,9619.790246514742
2026-06-01,9307.470491234042,6929.887807410851,9636.36791751898,8576.122152243079,10088.196828459493,-999.0992722822949,-999.0992722822949,-999.0992722822949,-999.0992722822949,-999.0992722822949,-999.0992722822949,0.0,0.0,0.0,8308.371218951746
2026-07-01,9365.169334245014,8149.205903218357,10762.009921290097,8590.925791702966,10179.269862805455,156.71648410522639,156.71648410522639,156.71648410522639,156.71648410522639,156.71648410522639,156.71648410522639,0.0,0.0,0.0,9521.885818350242
2026-08-01,9424.791472023018,8217.447230468497,10973.755611676777,8615.190799198648,10281.652832538453,189.75120072466015,189.75120072466015,189.75120072466015,189.75120072466015,189.75120072466015,189.75120072466015,0.0,0.0,0.0,9614.542672747679
2026-09-01,9484.413609801024,7634.748109293185,10372.033011057585,8647.09994529293,10375.259427117531,-452.89665252734943,-452.89665252734943,-452.89665252734943,-452.89665252734943,-452.89665252734943,-452.89665252734943,0.0,0.0,0.0,9031.516957273674
2026-10-01,9542.112452811996,8086.3670378811485,10917.721311001449,8662.268676568954,10471.415701696624,-24.12842870893527,-24.12842870893527,-24.12842870893527,-24.12842870893527,-24.12842870893527,-24.12842870893527,0.0,0.0,0.0,9517.984024103062
2026-11-01,9601.734590590002,8893.18276445898,11800.369940111112,8679.900928910618,10567.663638845015,796.2406602870127,796.2406602870127,796.2406602870127,796.2406602870127,796.2406602870127,796.2406602870127,0.0,0.0,0.0,10397.975250877014
2026-12-01,9659.433433600974,8786.914492436472,11795.009964507826,8687.233802804358,10661.395290787093,632.6525820392511,632.6525820392511,632.6525820392511,632.6525820392511,632.6525820392511,632.6525820392511,0.0,0.0,0.0,10292.086015640225
